rank,tripid,cityname_corrected,origin,dest,mean_trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
19,101614850,Toronto,"43.64967,-79.38605","43.73581,-79.782585",45.1,31.61,64.17,32.56,103.03,74.67,43.06738095238095
20,101627821,Toronto,"43.428917,-79.77091","43.65315,-79.378494",50.0,37.46,70.01,32.55,86.88,85.92,48.45939393939394
21,101618441,Toronto,"43.35008,-79.82516","43.65588,-79.380554",58.5,43.82,76.37,32.55,74.3,88.93,45.11666666666665
22,101627841,Toronto,"43.896835,-79.42072","43.65017,-79.39463",37.3,32.63,65.06,32.43,99.39,70.58,37.952631578947376
23,101634500,Vancouver,"49.254524,-123.11747","49.13831,-122.82736",38.4,39.87,71.71,31.84,79.87,78.23,38.36363636363637
24,101607780,Toronto,"43.66035,-79.379524","43.551216,-79.7328",43.0,38.16,69.91,31.75,83.19,81.31,43.146956521739135
25,101638260,Vancouver,"49.24309,-123.13601","49.290363,-122.769",35.5,39.78,71.46,31.68,79.66,82.34,42.56833333333333
26,101617330,Toronto,"43.651905,-79.381584","43.695362,-79.81383",49.1,39.25,70.91,31.66,80.67,84.38,45.133333333333326
27,101619061,Toronto,"43.69834,-79.73418","43.650913,-79.38296",45.9,34.51,66.01,31.5,91.26,70.82,36.3037037037037
28,101623561,Toronto,"43.39949,-79.73486","43.65911,-79.381584",47.5,38.77,70.22,31.45,81.11,81.92,43.154102564102566
29,101615991,Toronto,"43.379032,-79.7613","43.656628,-79.38021",51.5,41.74,73.08,31.34,75.07,81.53,39.78424242424243
30,101612321,Toronto,"43.51637,-79.696754","43.66085,-79.38811",37.1,35.54,66.81,31.27,87.97,73.28,37.733333333333334
31,101611951,Toronto,"43.38901,-79.774345","43.652157,-79.37918",49.7,36.71,67.92,31.21,85.02,76.28,39.569523809523815
32,101617971,Toronto,"43.48275,-79.67238","43.6529,-79.3833",36.0,28.35,59.55,31.19,110.02,66.45,38.099710144927535
33,101625691,Toronto,"43.422188,-79.72285","43.655632,-79.36854",44.7,34.7,65.82,31.11,89.66,75.83,41.13066666666666
34,101613521,Toronto,"43.3683,-79.812454","43.65489,-79.38502",55.0,43.67,74.77,31.1,71.22,80.81,37.136153846153846
35,101623991,Toronto,"43.387016,-79.80353","43.65936,-79.38296",54.2,42.95,73.92,30.97,72.09,82.14,39.186875
36,101624691,Toronto,"43.58231,-79.71289","43.663334,-79.39017",41.9,38.78,69.7,30.92,79.73,90.77,51.992500000000014
